======================================================================
Training for 200 iterations
Checkpoints will be saved to: checkpoints\gnn_validation
This will take approximately 30-60 minutes...

Starting training for 200 iterations...
Device: cpu
Map: simple_6
Policy: GCN (128x3)

Iteration 148/200 | Reward: 1.641 | Length: 50.0 | Episodes: 6143
Iteration 149/200 | Reward: 1.700 | Length: 45.5 | Episodes: 6185
Iteration 150/200 | Reward: 1.397 | Length: 50.0 | Episodes: 6225
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000150.pt
Iteration 151/200 | Reward: 1.649 | Length: 50.0 | Episodes: 6266
Iteration 152/200 | Reward: 1.396 | Length: 50.0 | Episodes: 6306
Iteration 153/200 | Reward: 1.619 | Length: 50.0 | Episodes: 6346
Iteration 154/200 | Reward: 1.656 | Length: 50.0 | Episodes: 6388
Iteration 155/200 | Reward: 1.827 | Length: 50.0 | Episodes: 6428
Iteration 156/200 | Reward: 1.798 | Length: 50.0 | Episodes: 6468
Iteration 157/200 | Reward: 1.562 | Length: 50.0 | Episodes: 6509
Iteration 158/200 | Reward: 1.558 | Length: 50.0 | Episodes: 6550
Iteration 159/200 | Reward: 1.473 | Length: 50.0 | Episodes: 6590
Iteration 160/200 | Reward: 1.686 | Length: 50.0 | Episodes: 6630
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000160.pt
Iteration 161/200 | Reward: 1.761 | Length: 50.0 | Episodes: 6670
Iteration 162/200 | Reward: 1.443 | Length: 50.0 | Episodes: 6711
Iteration 163/200 | Reward: 1.645 | Length: 50.0 | Episodes: 6752
Iteration 164/200 | Reward: 1.640 | Length: 50.0 | Episodes: 6793
Iteration 165/200 | Reward: 1.346 | Length: 50.0 | Episodes: 6833
Iteration 166/200 | Reward: 1.637 | Length: 50.0 | Episodes: 6874
Iteration 167/200 | Reward: 1.549 | Length: 50.0 | Episodes: 6915
Iteration 168/200 | Reward: 1.457 | Length: 50.0 | Episodes: 6955
Iteration 169/200 | Reward: 1.457 | Length: 50.0 | Episodes: 6995
Iteration 170/200 | Reward: 1.439 | Length: 50.0 | Episodes: 7035
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000170.pt
Iteration 171/200 | Reward: 1.588 | Length: 50.0 | Episodes: 7076
Iteration 172/200 | Reward: 1.617 | Length: 50.0 | Episodes: 7116
Iteration 173/200 | Reward: 1.373 | Length: 50.0 | Episodes: 7156
Iteration 174/200 | Reward: 1.582 | Length: 50.0 | Episodes: 7197
Iteration 175/200 | Reward: 1.514 | Length: 50.0 | Episodes: 7237
Iteration 176/200 | Reward: 1.705 | Length: 50.0 | Episodes: 7278
Iteration 177/200 | Reward: 1.656 | Length: 50.0 | Episodes: 7318
Iteration 178/200 | Reward: 1.425 | Length: 50.0 | Episodes: 7358
Iteration 179/200 | Reward: 1.614 | Length: 50.0 | Episodes: 7398
Iteration 180/200 | Reward: 1.683 | Length: 50.0 | Episodes: 7438
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000180.pt
Iteration 181/200 | Reward: 1.547 | Length: 50.0 | Episodes: 7480
Iteration 182/200 | Reward: 1.502 | Length: 48.6 | Episodes: 7521
Iteration 183/200 | Reward: 1.647 | Length: 50.0 | Episodes: 7562
Iteration 184/200 | Reward: 1.716 | Length: 50.0 | Episodes: 7602
Iteration 185/200 | Reward: 1.580 | Length: 50.0 | Episodes: 7643
Iteration 186/200 | Reward: 1.338 | Length: 50.0 | Episodes: 7684
Iteration 187/200 | Reward: 1.377 | Length: 47.2 | Episodes: 7725
Iteration 188/200 | Reward: 1.500 | Length: 47.8 | Episodes: 7766
Iteration 189/200 | Reward: 1.544 | Length: 50.0 | Episodes: 7807
Iteration 190/200 | Reward: 1.631 | Length: 50.0 | Episodes: 7848
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000190.pt
Iteration 191/200 | Reward: 1.602 | Length: 47.8 | Episodes: 7889
Iteration 192/200 | Reward: 1.559 | Length: 50.0 | Episodes: 7929
Iteration 193/200 | Reward: 1.438 | Length: 50.0 | Episodes: 7969
Iteration 194/200 | Reward: 1.488 | Length: 50.0 | Episodes: 8010
Iteration 195/200 | Reward: 1.439 | Length: 50.0 | Episodes: 8050
Iteration 196/200 | Reward: 1.430 | Length: 50.0 | Episodes: 8090
Iteration 197/200 | Reward: 1.572 | Length: 50.0 | Episodes: 8131
Iteration 198/200 | Reward: 1.594 | Length: 50.0 | Episodes: 8172
Iteration 199/200 | Reward: 1.410 | Length: 50.0 | Episodes: 8212
Iteration 200/200 | Reward: 1.509 | Length: 50.0 | Episodes: 8252
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000200.pt

✅ Training complete!

✓ Training completed successfully

======================================================================
STEP 2: Evaluating Checkpoints
======================================================================
Found 20 checkpoints
Will evaluate 10 checkpoints (every 20 iterations)

  Evaluating checkpoint at iteration 20...
    Episode 20/100 - Win rate: 45.00%
    Episode 40/100 - Win rate: 40.00%
    Episode 60/100 - Win rate: 35.00%
    Episode 80/100 - Win rate: 31.25%
    Episode 100/100 - Win rate: 32.00%
    Win rate: 32.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 40...
    Episode 20/100 - Win rate: 25.00%
    Episode 40/100 - Win rate: 22.50%
    Episode 60/100 - Win rate: 20.00%
    Episode 80/100 - Win rate: 18.75%
    Episode 100/100 - Win rate: 18.00%
    Win rate: 18.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 60...
    Episode 20/100 - Win rate: 5.00%
    Episode 40/100 - Win rate: 5.00%
    Episode 60/100 - Win rate: 8.33%
    Episode 80/100 - Win rate: 10.00%
    Episode 100/100 - Win rate: 12.00%
    Win rate: 12.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 80...
    Episode 20/100 - Win rate: 5.00%
    Episode 40/100 - Win rate: 10.00%
    Episode 60/100 - Win rate: 13.33%
    Episode 80/100 - Win rate: 11.25%
    Episode 100/100 - Win rate: 15.00%
    Win rate: 15.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 100...
    Episode 20/100 - Win rate: 15.00%
    Episode 40/100 - Win rate: 12.50%
    Episode 60/100 - Win rate: 11.67%
    Episode 80/100 - Win rate: 13.75%
    Episode 100/100 - Win rate: 14.00%
    Win rate: 14.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 120...
    Episode 20/100 - Win rate: 15.00%
    Episode 40/100 - Win rate: 12.50%
    Episode 60/100 - Win rate: 10.00%
    Episode 80/100 - Win rate: 10.00%
    Episode 100/100 - Win rate: 11.00%
    Win rate: 11.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 140...
    Episode 20/100 - Win rate: 15.00%
    Episode 40/100 - Win rate: 10.00%
    Episode 60/100 - Win rate: 6.67%
    Episode 80/100 - Win rate: 8.75%
    Episode 100/100 - Win rate: 11.00%
    Win rate: 11.00% | Avg length: 50.0

  Evaluating checkpoint at iteration 160...
